Delegacia;Ano;Natureza;Janeiro;Fevereiro;Marco;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
035 DP - Jabaquara;2022;TOTAL DE ROUBO - OUTROS (1);1720;1650;2110;2420;1510;151;163;181;167;182;169;148;2102
035 DP - Jabaquara;2022;ROUBO - OUTROS;1720;1610;2090;2420;1490;148;162;180;167;178;167;144;2079
035 DP - Jabaquara;2022;ROUBO DE VEÍCULO;200;210;260;280;390;22;31;44;32;35;30;46;3740
035 DP - Jabaquara;2022;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
035 DP - Jabaquara;2022;ROUBO DE CARGA;0;40;20;0;20;3;1;1;0;4;2;4;230
035 DP - Jabaquara;2022;FURTO - OUTROS;1910;1840;2300;2310;2400;187;254;253;195;218;208;263;2654
035 DP - Jabaquara;2022;FURTO DE VEÍCULO;220;90;290;150;170;31;26;21;22;18;22;19;2510
103 DP - Cohab Itaquera;2025;HOMICÍDIO DOLOSO (2);0;0;0;10;0;;;;;;;;10
103 DP - Cohab Itaquera;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;10;0;;;;;;;;10
103 DP - Cohab Itaquera;2025;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
103 DP - Cohab Itaquera;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
103 DP - Cohab Itaquera;2025;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;10;0;0;0;0;;;;;;;;10
103 DP - Cohab Itaquera;2025;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;;;;;;;;0
103 DP - Cohab Itaquera;2025;TENTATIVA DE HOMICÍDIO;0;0;0;0;0;;;;;;;;0
103 DP - Cohab Itaquera;2025;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;;;;;;;;0
103 DP - Cohab Itaquera;2025;LESÃO CORPORAL DOLOSA;420;340;400;400;480;;;;;;;;2040
103 DP - Cohab Itaquera;2025;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;100;60;40;80;90;;;;;;;;370
103 DP - Cohab Itaquera;2025;LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;10;10;;;;;;;;20
103 DP - Cohab Itaquera;2025;LATROCÍNIO;0;0;0;0;0;;;;;;;;0
103 DP - Cohab Itaquera;2025;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;;;;;;;;0
103 DP - Cohab Itaquera;2025;TOTAL DE ESTUPRO (4);30;60;50;10;10;;;;;;;;160
103 DP - Cohab Itaquera;2025;ESTUPRO;10;0;0;0;10;;;;;;;;20
103 DP - Cohab Itaquera;2025;ESTUPRO DE VULNERÁVEL;20;60;50;10;0;;;;;;;;140
103 DP - Cohab Itaquera;2025;TOTAL DE ROUBO - OUTROS (1);560;560;530;460;470;;;;;;;;2580
103 DP - Cohab Itaquera;2025;ROUBO - OUTROS;560;560;530;460;470;;;;;;;;2580
103 DP - Cohab Itaquera;2025;ROUBO DE VEÍCULO;130;50;90;10;50;;;;;;;;330
103 DP - Cohab Itaquera;2025;ROUBO A BANCO;0;0;0;0;0;;;;;;;;0
103 DP - Cohab Itaquera;2025;ROUBO DE CARGA;0;0;0;0;0;;;;;;;;0
103 DP - Cohab Itaquera;2025;FURTO - OUTROS;990;990;1270;960;1000;;;;;;;;5210
103 DP - Cohab Itaquera;2025;FURTO DE VEÍCULO;310;240;270;180;200;;;;;;;;1200
103 DP - Cohab Itaquera;2024;HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;1;0;0;0;0;10
103 DP - Cohab Itaquera;2024;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;1;0;0;0;0;10
103 DP - Cohab Itaquera;2024;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2024;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2024;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;20;0;0;0;0;0;0;1;1;40
103 DP - Cohab Itaquera;2024;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2024;TENTATIVA DE HOMICÍDIO;0;0;0;10;10;0;0;0;1;0;0;2;50
103 DP - Cohab Itaquera;2024;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2024;LESÃO CORPORAL DOLOSA;380;410;380;410;450;33;34;25;39;29;34;37;4340
103 DP - Cohab Itaquera;2024;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;90;30;60;130;120;12;10;12;14;11;9;7;1180
103 DP - Cohab Itaquera;2024;LESÃO CORPORAL CULPOSA - OUTRAS;10;0;10;20;20;3;0;0;1;1;0;0;110
103 DP - Cohab Itaquera;2024;LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2024;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2024;TOTAL DE ESTUPRO (4);10;10;40;40;20;1;3;4;0;5;2;2;290
103 DP - Cohab Itaquera;2024;ESTUPRO;0;0;20;20;10;0;0;0;0;2;0;0;70
103 DP - Cohab Itaquera;2024;ESTUPRO DE VULNERÁVEL;10;10;20;20;10;1;3;4;0;3;2;2;220
103 DP - Cohab Itaquera;2024;TOTAL DE ROUBO - OUTROS (1);840;900;1010;700;860;68;73;76;60;65;68;48;8890
103 DP - Cohab Itaquera;2024;ROUBO - OUTROS;830;900;1010;700;850;68;73;75;60;65;67;48;8850
103 DP - Cohab Itaquera;2024;ROUBO DE VEÍCULO;90;70;180;90;90;7;9;12;7;10;9;10;1160
103 DP - Cohab Itaquera;2024;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2024;ROUBO DE CARGA;10;0;0;0;10;0;0;1;0;0;1;0;40
103 DP - Cohab Itaquera;2024;FURTO - OUTROS;960;1040;910;990;1380;92;80;90;75;93;96;87;1141
103 DP - Cohab Itaquera;2024;FURTO DE VEÍCULO;270;240;370;260;180;19;23;24;36;30;25;24;3130
103 DP - Cohab Itaquera;2023;HOMICÍDIO DOLOSO (2);0;0;0;20;0;0;0;0;0;1;0;0;30
103 DP - Cohab Itaquera;2023;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;20;0;0;0;0;0;1;0;0;30
103 DP - Cohab Itaquera;2023;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2023;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2023;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;1;0;0;1;0;30
103 DP - Cohab Itaquera;2023;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2023;TENTATIVA DE HOMICÍDIO;0;10;10;0;0;0;0;0;0;0;0;2;40
103 DP - Cohab Itaquera;2023;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2023;LESÃO CORPORAL DOLOSA;290;250;420;340;270;24;36;32;24;39;40;19;3710
103 DP - Cohab Itaquera;2023;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;20;30;70;70;100;5;4;9;8;8;6;6;750
103 DP - Cohab Itaquera;2023;LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;10;0;0;0;0;0;0;2;0;30
103 DP - Cohab Itaquera;2023;LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2023;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2023;TOTAL DE ESTUPRO (4);30;40;50;30;50;3;0;3;2;1;2;2;330
103 DP - Cohab Itaquera;2023;ESTUPRO;10;0;30;10;20;1;0;0;0;0;0;0;80
103 DP - Cohab Itaquera;2023;ESTUPRO DE VULNERÁVEL;20;40;20;20;30;2;0;3;2;1;2;2;250
103 DP - Cohab Itaquera;2023;TOTAL DE ROUBO - OUTROS (1);840;560;760;710;980;79;78;77;82;99;78;98;9760
103 DP - Cohab Itaquera;2023;ROUBO - OUTROS;840;560;760;710;980;78;77;77;81;99;78;97;9720
103 DP - Cohab Itaquera;2023;ROUBO DE VEÍCULO;90;70;150;70;70;15;7;14;12;12;5;18;1280
103 DP - Cohab Itaquera;2023;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2023;ROUBO DE CARGA;0;0;0;0;0;1;1;0;1;0;0;1;40
103 DP - Cohab Itaquera;2023;FURTO - OUTROS;990;640;960;860;1400;90;89;98;76;104;100;88;113
103 DP - Cohab Itaquera;2023;FURTO DE VEÍCULO;240;290;230;230;330;27;35;29;30;16;24;27;3200
103 DP - Cohab Itaquera;2022;HOMICÍDIO DOLOSO (2);20;10;0;0;0;1;0;0;0;1;0;0;50
103 DP - Cohab Itaquera;2022;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);20;30;0;0;0;1;0;0;0;1;0;0;70
103 DP - Cohab Itaquera;2022;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2022;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2022;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;0;0;0;0;1;20
103 DP - Cohab Itaquera;2022;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2022;TENTATIVA DE HOMICÍDIO;0;20;0;10;0;0;0;1;0;0;0;0;40
103 DP - Cohab Itaquera;2022;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;1;0;0;0;0;0;10
103 DP - Cohab Itaquera;2022;LESÃO CORPORAL DOLOSA;370;240;230;260;320;20;26;35;26;29;25;25;3280
103 DP - Cohab Itaquera;2022;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;50;30;50;30;60;2;5;2;4;7;8;4;540
103 DP - Cohab Itaquera;2022;LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;20;10;0;0;0;0;2;0;0;50
103 DP - Cohab Itaquera;2022;LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2022;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2022;TOTAL DE ESTUPRO (4);20;0;30;10;40;3;1;0;2;1;3;1;210
103 DP - Cohab Itaquera;2022;ESTUPRO;0;0;10;10;10;0;0;0;0;0;0;0;30
103 DP - Cohab Itaquera;2022;ESTUPRO DE VULNERÁVEL;20;0;20;0;30;3;1;0;2;1;3;1;180
103 DP - Cohab Itaquera;2022;TOTAL DE ROUBO - OUTROS (1);830;760;770;980;1450;98;95;82;75;77;85;82;1073
103 DP - Cohab Itaquera;2022;ROUBO - OUTROS;830;760;770;980;1450;95;94;82;73;77;83;82;1065
103 DP - Cohab Itaquera;2022;ROUBO DE VEÍCULO;50;90;90;140;130;15;11;10;6;19;13;17;1410
103 DP - Cohab Itaquera;2022;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
103 DP - Cohab Itaquera;2022;ROUBO DE CARGA;0;0;0;0;0;3;1;0;2;0;2;0;80
103 DP - Cohab Itaquera;2022;FURTO - OUTROS;840;880;1240;1000;2760;131;101;129;127;108;105;117;149
103 DP - Cohab Itaquera;2022;FURTO DE VEÍCULO;340;390;390;310;440;36;34;35;26;28;33;22;4010
081 DP - Belém;2025;HOMICÍDIO DOLOSO (2);20;0;0;0;0;;;;;;;;20
081 DP - Belém;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);20;0;0;0;0;;;;;;;;20
081 DP - Belém;2025;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
081 DP - Belém;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
081 DP - Belém;2025;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;10;;;;;;;;10
081 DP - Belém;2025;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;;;;;;;;0
081 DP - Belém;2025;TENTATIVA DE HOMICÍDIO;0;0;0;0;0;;;;;;;;0
081 DP - Belém;2025;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;;;;;;;;0
081 DP - Belém;2025;LESÃO CORPORAL DOLOSA;150;160;200;220;190;;;;;;;;920
081 DP - Belém;2025;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;100;70;80;50;40;;;;;;;;340
081 DP - Belém;2025;LESÃO CORPORAL CULPOSA - OUTRAS;10;0;0;20;0;;;;;;;;30
081 DP - Belém;2025;LATROCÍNIO;0;0;0;0;0;;;;;;;;0
081 DP - Belém;2025;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;;;;;;;;0
081 DP - Belém;2025;TOTAL DE ESTUPRO (4);0;0;20;0;20;;;;;;;;40
081 DP - Belém;2025;ESTUPRO;0;0;0;0;10;;;;;;;;10
081 DP - Belém;2025;ESTUPRO DE VULNERÁVEL;0;0;20;0;10;;;;;;;;30
081 DP - Belém;2025;TOTAL DE ROUBO - OUTROS (1);250;270;430;230;240;;;;;;;;1420
081 DP - Belém;2025;ROUBO - OUTROS;250;250;430;220;230;;;;;;;;1380
081 DP - Belém;2025;ROUBO DE VEÍCULO;0;30;30;0;0;;;;;;;;60
081 DP - Belém;2025;ROUBO A BANCO;0;0;0;0;0;;;;;;;;0
081 DP - Belém;2025;ROUBO DE CARGA;0;20;0;10;10;;;;;;;;40
081 DP - Belém;2025;FURTO - OUTROS;810;990;1290;1330;1020;;;;;;;;5440
081 DP - Belém;2025;FURTO DE VEÍCULO;80;200;130;100;120;;;;;;;;630
081 DP - Belém;2024;HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;1;0;0;0;0;10
081 DP - Belém;2024;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;1;0;0;0;0;10
081 DP - Belém;2024;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
081 DP - Belém;2024;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
081 DP - Belém;2024;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;10;1;0;2;0;1;0;1;60
081 DP - Belém;2024;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
081 DP - Belém;2024;TENTATIVA DE HOMICÍDIO;0;0;10;10;10;0;0;1;0;2;0;0;60
081 DP - Belém;2024;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
081 DP - Belém;2024;LESÃO CORPORAL DOLOSA;180;170;140;290;210;9;16;18;20;14;17;23;2160
081 DP - Belém;2024;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;20;30;90;40;40;6;6;7;7;11;9;6;740
081 DP - Belém;2024;LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0
081 DP - Belém;2024;LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
081 DP - Belém;2024;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
081 DP - Belém;2024;TOTAL DE ESTUPRO (4);10;0;10;10;30;2;0;2;2;1;0;0;130
081 DP - Belém;2024;ESTUPRO;10;0;0;0;20;1;0;0;2;1;0;0;70
081 DP - Belém;2024;ESTUPRO DE VULNERÁVEL;0;0;10;10;10;1;0;2;0;0;0;0;60
081 DP - Belém;2024;TOTAL DE ROUBO - OUTROS (1);270;340;380;360;330;42;60;36;26;38;37;28;4350
